Products,Value(in Millions)
Machines,"2,860"
Metals,"1,940"
Transportation,"1,190"
Chemicals,827
Foodstuffs,801
Vegetables,514
Plastics&Rubbers,386
Miscellaneous,348
Instruments,335
Textiles,303
Others,"1,596"
