Products,Value(in Millions)
Machines,"1,380"
Minerals,"1,360"
Transportation,691
Chemicals,651
Metals,543
Foodstuffs,524
Plastics&Rubbers,331
Textiles,318
Vegetables,269
Animals,199
Others,964
